epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.0238,2.85504,0.08182,0.50909,2.73926,5.915e-05,5.915e-05,5.915e-05
2,22.4769,2.39535,0.29091,0.73636,2.3125,0.000121634,0.000121634,0.000121634
3,31.0527,2.01957,0.32727,0.76818,2.0791,0.000182856,0.000182856,0.000182856
4,39.4138,1.77023,0.35909,0.79545,2.02002,0.000242818,0.000242818,0.000242818
5,48.1046,1.50968,0.36818,0.80909,2.00879,0.000301518,0.000301518,0.000301518
6,56.9138,1.24658,0.38182,0.78182,2.09473,0.000358956,0.000358956,0.000358956
7,65.5791,1.05962,0.38182,0.82727,2.19727,0.000415134,0.000415134,0.000415134
8,73.2363,0.86773,0.37273,0.81364,2.33301,0.000423468,0.000423468,0.000423468
9,82.7127,0.72811,0.38182,0.81818,2.3584,0.000418964,0.000418964,0.000418964
10,90.5456,0.62429,0.39091,0.83636,2.65137,0.00041446,0.00041446,0.00041446
11,99.7924,0.59449,0.31364,0.77273,2.73535,0.000409955,0.000409955,0.000409955
12,107.42,0.50377,0.39091,0.80909,2.92285,0.000405451,0.000405451,0.000405451
13,117.04,0.46415,0.34545,0.79545,2.97168,0.000400946,0.000400946,0.000400946
14,124.497,0.42868,0.36818,0.82273,2.79688,0.000396441,0.000396441,0.000396441
15,133.163,0.4401,0.35,0.78636,3.00488,0.000391937,0.000391937,0.000391937
16,140.8,0.38102,0.37727,0.82273,2.92578,0.000387433,0.000387433,0.000387433
17,150.428,0.37603,0.38636,0.79545,2.7998,0.000382928,0.000382928,0.000382928
18,158.277,0.34264,0.35,0.83182,3.16992,0.000378423,0.000378423,0.000378423
19,167.357,0.32643,0.35909,0.80455,3.46777,0.000373919,0.000373919,0.000373919
20,174.931,0.35896,0.39091,0.79545,3.30664,0.000369415,0.000369415,0.000369415
21,184.435,0.31208,0.39545,0.80909,3.37695,0.00036491,0.00036491,0.00036491
22,192.13,0.30515,0.39545,0.8,3.21582,0.000360406,0.000360406,0.000360406
23,200.926,0.29257,0.35909,0.81818,3.39941,0.000355901,0.000355901,0.000355901
24,208.413,0.28581,0.36364,0.84545,3.54785,0.000351396,0.000351396,0.000351396
25,218.194,0.25939,0.39091,0.82273,3.53613,0.000346892,0.000346892,0.000346892
26,225.896,0.29899,0.36818,0.81818,3.39551,0.000342387,0.000342387,0.000342387
27,234.855,0.27655,0.37273,0.82273,3.30566,0.000337883,0.000337883,0.000337883
28,242.275,0.29304,0.37273,0.82273,3.43555,0.000333379,0.000333379,0.000333379
29,251.725,0.27718,0.38182,0.82273,3.53223,0.000328874,0.000328874,0.000328874
30,259.127,0.27152,0.36364,0.83182,3.56543,0.000324369,0.000324369,0.000324369
31,267.866,0.2399,0.39091,0.84545,3.80078,0.000319865,0.000319865,0.000319865
32,275.808,0.25757,0.35455,0.82727,3.97168,0.00031536,0.00031536,0.00031536
33,285.482,0.22244,0.33636,0.84091,3.56934,0.000310856,0.000310856,0.000310856
34,293.047,0.23478,0.38636,0.82727,3.56738,0.000306351,0.000306351,0.000306351
35,302.09,0.24114,0.39545,0.8,3.5752,0.000301847,0.000301847,0.000301847
36,310.537,0.2468,0.36364,0.80909,3.61328,0.000297342,0.000297342,0.000297342
37,319.52,0.2225,0.38182,0.8,3.55469,0.000292838,0.000292838,0.000292838
38,327.118,0.2306,0.39091,0.81818,3.61523,0.000288333,0.000288333,0.000288333
39,336.228,0.21228,0.39091,0.8,3.8418,0.000283829,0.000283829,0.000283829
40,343.769,0.21793,0.37273,0.78182,3.66699,0.000279325,0.000279325,0.000279325
41,352.792,0.19523,0.36818,0.8,3.77344,0.00027482,0.00027482,0.00027482
42,360.065,0.19927,0.35455,0.79545,3.82422,0.000270316,0.000270316,0.000270316
43,369.186,0.22711,0.36364,0.8,3.83105,0.000265811,0.000265811,0.000265811
44,377.366,0.20552,0.32727,0.80909,4.15332,0.000261307,0.000261307,0.000261307
45,386.634,0.20103,0.35,0.81818,3.98926,0.000256802,0.000256802,0.000256802
46,394.254,0.19492,0.35909,0.81818,3.70215,0.000252298,0.000252298,0.000252298
47,403.293,0.21797,0.36818,0.82273,3.65527,0.000247793,0.000247793,0.000247793
48,411.066,0.19743,0.38182,0.81364,3.73926,0.000243289,0.000243289,0.000243289
49,420.161,0.20515,0.38182,0.84091,3.81836,0.000238784,0.000238784,0.000238784
50,427.949,0.19813,0.37727,0.83182,3.77637,0.00023428,0.00023428,0.00023428
51,436.388,0.18438,0.37273,0.82273,3.88574,0.000229775,0.000229775,0.000229775
52,445.137,0.18759,0.36364,0.8,3.86914,0.00022527,0.00022527,0.00022527
53,453.773,0.19139,0.36364,0.80909,3.87305,0.000220766,0.000220766,0.000220766
54,461.969,0.21707,0.37273,0.80909,3.95898,0.000216261,0.000216261,0.000216261
55,470.659,0.20063,0.36818,0.80455,3.9209,0.000211757,0.000211757,0.000211757
56,478.778,0.19036,0.35909,0.80909,3.86621,0.000207252,0.000207252,0.000207252
57,487.899,0.16825,0.35455,0.81364,4.08887,0.000202748,0.000202748,0.000202748
58,495.454,0.18876,0.38182,0.81364,4.02441,0.000198244,0.000198244,0.000198244
59,505.146,0.17672,0.36818,0.81818,4.02441,0.000193739,0.000193739,0.000193739
60,512.899,0.16877,0.35909,0.79545,4.13867,0.000189235,0.000189235,0.000189235
61,522.049,0.17856,0.34545,0.80909,4.1377,0.00018473,0.00018473,0.00018473
62,529.776,0.17291,0.36364,0.81818,3.98926,0.000180226,0.000180226,0.000180226
63,538.995,0.17209,0.36818,0.81818,3.97559,0.000175721,0.000175721,0.000175721
64,546.629,0.17503,0.36818,0.81364,4.12695,0.000171217,0.000171217,0.000171217
65,555.53,0.17981,0.35,0.81818,4.05078,0.000166712,0.000166712,0.000166712
66,563.195,0.16701,0.35909,0.82273,4.07812,0.000162207,0.000162207,0.000162207
67,573.005,0.15318,0.38182,0.81818,4.05371,0.000157703,0.000157703,0.000157703
68,580.747,0.16654,0.36364,0.82273,3.99902,0.000153198,0.000153198,0.000153198
69,589.765,0.15237,0.36818,0.81364,4.08789,0.000148694,0.000148694,0.000148694
70,597.512,0.16522,0.35,0.81364,3.95801,0.00014419,0.00014419,0.00014419
71,607.031,0.16977,0.34545,0.81364,3.93848,0.000139685,0.000139685,0.000139685
72,614.56,0.16119,0.35909,0.81364,4,0.000135181,0.000135181,0.000135181
73,623.507,0.15288,0.36364,0.81364,4.07031,0.000130676,0.000130676,0.000130676
74,630.87,0.15062,0.36818,0.82727,4.0166,0.000126172,0.000126172,0.000126172
75,640.465,0.14962,0.36818,0.82727,4.10449,0.000121667,0.000121667,0.000121667
76,648.124,0.15947,0.38636,0.81818,4.125,0.000117163,0.000117163,0.000117163
77,657.426,0.1668,0.38182,0.81364,4.2041,0.000112658,0.000112658,0.000112658
78,664.593,0.15337,0.36364,0.82273,4.06543,0.000108154,0.000108154,0.000108154
79,673.861,0.15553,0.35,0.82273,4.0459,0.000103649,0.000103649,0.000103649
80,681.675,0.16796,0.35909,0.82727,4.11719,9.91445e-05,9.91445e-05,9.91445e-05
81,690.059,0.15327,0.37273,0.82273,4.10645,9.464e-05,9.464e-05,9.464e-05
82,699.041,0.15236,0.36364,0.81818,4.14258,9.01355e-05,9.01355e-05,9.01355e-05
83,706.767,0.15255,0.37727,0.82273,4.16797,8.5631e-05,8.5631e-05,8.5631e-05
84,715.765,0.14789,0.36818,0.83636,4.19531,8.11265e-05,8.11265e-05,8.11265e-05
85,723.183,0.14239,0.36818,0.83182,4.14355,7.6622e-05,7.6622e-05,7.6622e-05
86,732.189,0.15355,0.37273,0.83182,4.08496,7.21175e-05,7.21175e-05,7.21175e-05
87,740.508,0.14653,0.36818,0.82273,4.16406,6.7613e-05,6.7613e-05,6.7613e-05
88,748.538,0.15322,0.36364,0.82727,4.16602,6.31085e-05,6.31085e-05,6.31085e-05
89,757.1,0.14368,0.37273,0.82273,4.13672,5.8604e-05,5.8604e-05,5.8604e-05
90,765.374,0.13657,0.37273,0.80909,4.18848,5.40995e-05,5.40995e-05,5.40995e-05
91,776.963,0.14888,0.35909,0.82273,4.14453,4.9595e-05,4.9595e-05,4.9595e-05
92,784.623,0.14646,0.36364,0.81364,4.15625,4.50905e-05,4.50905e-05,4.50905e-05
93,793.81,0.14795,0.37727,0.81364,4.22852,4.0586e-05,4.0586e-05,4.0586e-05
94,802.121,0.13789,0.36364,0.81818,4.16211,3.60815e-05,3.60815e-05,3.60815e-05
95,810.845,0.15032,0.38182,0.82273,4.19531,3.1577e-05,3.1577e-05,3.1577e-05
96,818.393,0.14616,0.37273,0.80455,4.21191,2.70725e-05,2.70725e-05,2.70725e-05
97,827.319,0.13331,0.37273,0.8,4.22852,2.2568e-05,2.2568e-05,2.2568e-05
98,835.3,0.1445,0.38182,0.80909,4.16992,1.80635e-05,1.80635e-05,1.80635e-05
99,844.272,0.13852,0.38636,0.80455,4.24316,1.3559e-05,1.3559e-05,1.3559e-05
100,851.715,0.13751,0.38182,0.81364,4.17383,9.0545e-06,9.0545e-06,9.0545e-06
