epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.8082,2.91416,0.06566,0.34848,2.95117,5.236e-05,5.236e-05,5.236e-05
2,22.6023,2.51671,0.21212,0.55556,2.5498,0.000108396,0.000108396,0.000108396
3,31.1752,1.96838,0.38889,0.71212,2.10645,0.000163301,0.000163301,0.000163301
4,39.8807,1.64284,0.4798,0.78788,2.01123,0.000217076,0.000217076,0.000217076
5,49.5953,1.36547,0.50505,0.78788,1.85547,0.000269719,0.000269719,0.000269719
6,58.3662,1.10695,0.4899,0.77273,1.84863,0.000321231,0.000321231,0.000321231
7,67.0592,0.8035,0.5101,0.79293,1.95312,0.000371612,0.000371612,0.000371612
8,75.636,0.60779,0.50505,0.78283,2.03662,0.000420863,0.000420863,0.000420863
9,85.0089,0.45648,0.52525,0.80303,2.01611,0.000438301,0.000438301,0.000438301
10,93.3485,0.39055,0.5101,0.78283,2.06836,0.000433588,0.000433588,0.000433588
11,101.646,0.32129,0.52525,0.84343,2.07812,0.000428876,0.000428876,0.000428876
12,110.372,0.29041,0.49495,0.81313,2.15918,0.000424164,0.000424164,0.000424164
13,119.078,0.21671,0.47475,0.78788,2.54492,0.000419451,0.000419451,0.000419451
14,127.576,0.22338,0.4899,0.80808,2.30273,0.000414739,0.000414739,0.000414739
15,135.923,0.19092,0.52525,0.81313,2.39551,0.000410026,0.000410026,0.000410026
16,144.62,0.17,0.47475,0.79293,2.33789,0.000405314,0.000405314,0.000405314
17,152.944,0.16604,0.4697,0.77778,2.49805,0.000400602,0.000400602,0.000400602
18,161.3,0.18087,0.5404,0.79798,2.41016,0.000395889,0.000395889,0.000395889
19,169.729,0.14617,0.5202,0.80303,2.36816,0.000391177,0.000391177,0.000391177
20,179.084,0.13534,0.49495,0.81818,2.3916,0.000386464,0.000386464,0.000386464
21,187.562,0.14564,0.49495,0.82828,2.49023,0.000381752,0.000381752,0.000381752
22,195.903,0.14067,0.47475,0.82323,2.55469,0.00037704,0.00037704,0.00037704
23,204.458,0.11796,0.48485,0.83838,2.56738,0.000372327,0.000372327,0.000372327
24,213.323,0.13224,0.50505,0.81818,2.70312,0.000367615,0.000367615,0.000367615
25,222.163,0.11536,0.54545,0.80303,2.61328,0.000362902,0.000362902,0.000362902
26,230.599,0.11328,0.5,0.83838,2.50195,0.00035819,0.00035819,0.00035819
27,239.42,0.12462,0.49495,0.79798,2.5498,0.000353478,0.000353478,0.000353478
28,248.316,0.1446,0.48485,0.80808,2.35938,0.000348765,0.000348765,0.000348765
29,257.114,0.10411,0.5,0.80303,2.66895,0.000344053,0.000344053,0.000344053
30,266.008,0.11075,0.5202,0.80303,2.41113,0.00033934,0.00033934,0.00033934
31,274.965,0.08402,0.5303,0.79798,2.37793,0.000334628,0.000334628,0.000334628
32,283.447,0.103,0.50505,0.81818,2.82422,0.000329916,0.000329916,0.000329916
33,291.956,0.10495,0.5,0.80303,2.53809,0.000325203,0.000325203,0.000325203
34,300.65,0.11249,0.47475,0.76768,2.80078,0.000320491,0.000320491,0.000320491
35,309.854,0.12425,0.51515,0.76768,2.40771,0.000315778,0.000315778,0.000315778
36,318.358,0.07305,0.5,0.78283,2.45996,0.000311066,0.000311066,0.000311066
37,326.923,0.05601,0.52525,0.79798,2.76758,0.000306354,0.000306354,0.000306354
38,335.47,0.06211,0.5303,0.81818,2.74512,0.000301641,0.000301641,0.000301641
39,344.759,0.0639,0.50505,0.79293,2.72266,0.000296929,0.000296929,0.000296929
40,353.201,0.04714,0.4899,0.79798,2.69141,0.000292216,0.000292216,0.000292216
41,361.849,0.06747,0.5202,0.83333,2.74512,0.000287504,0.000287504,0.000287504
42,370.544,0.07625,0.52525,0.81818,2.62207,0.000282792,0.000282792,0.000282792
43,379.79,0.04111,0.4798,0.81818,2.64844,0.000278079,0.000278079,0.000278079
44,388.404,0.03847,0.5,0.82323,2.64355,0.000273367,0.000273367,0.000273367
45,397.001,0.0648,0.50505,0.80303,2.66895,0.000268654,0.000268654,0.000268654
46,405.954,0.05595,0.5202,0.80303,2.61035,0.000263942,0.000263942,0.000263942
47,414.008,0.05966,0.55051,0.81818,2.95801,0.00025923,0.00025923,0.00025923
48,422.311,0.04746,0.54545,0.83838,2.60645,0.000254517,0.000254517,0.000254517
49,430.676,0.05233,0.56061,0.83838,2.74121,0.000249805,0.000249805,0.000249805
50,439.479,0.05279,0.53535,0.81818,2.43652,0.000245092,0.000245092,0.000245092
51,447.844,0.03288,0.52525,0.80808,2.64551,0.00024038,0.00024038,0.00024038
52,456.166,0.02998,0.51515,0.81313,2.50488,0.000235668,0.000235668,0.000235668
53,464.411,0.01695,0.52525,0.79798,2.67676,0.000230955,0.000230955,0.000230955
54,473.071,0.02347,0.52525,0.81313,2.61816,0.000226243,0.000226243,0.000226243
55,481.653,0.01485,0.5303,0.82323,2.60645,0.00022153,0.00022153,0.00022153
56,490.151,0.01199,0.53535,0.83333,2.63965,0.000216818,0.000216818,0.000216818
57,498.414,0.01932,0.52525,0.84848,2.50098,0.000212106,0.000212106,0.000212106
58,507.677,0.00863,0.5303,0.83333,2.52637,0.000207393,0.000207393,0.000207393
59,516.01,0.01288,0.5303,0.82323,2.57129,0.000202681,0.000202681,0.000202681
60,524.407,0.01903,0.56061,0.82323,2.60645,0.000197968,0.000197968,0.000197968
61,532.87,0.01995,0.56061,0.82323,2.48242,0.000193256,0.000193256,0.000193256
